benchmark,category,variant,size,time_1
darken_blend8,blend,torch_gpu_onlykernel,EXTRALARGE,2.22499947994947e-05
dct,utdsp,clang,EXTRALARGE,1.099166
dct,utdsp,gcc,EXTRALARGE,0.5708115
dct,utdsp,jax,EXTRALARGE,0.00846165150869638
dct,utdsp,jax_gpu,EXTRALARGE,0.000798494555056095
dct,utdsp,jax_gpu_onlykernel,EXTRALARGE,2.61344248428941e-05
dct,utdsp,numba,EXTRALARGE,1.10559598449618
dct,utdsp,numpy,EXTRALARGE,0.0106582380831242
dct,utdsp,polly,EXTRALARGE,0.1517925
dct,utdsp,polly-parallel,EXTRALARGE,0.152059
dct,utdsp,polly-parallel-vectorizer,EXTRALARGE,0.1519285
dct,utdsp,polly-vectorizer,EXTRALARGE,0.1517805
dct,utdsp,torch,EXTRALARGE,0.014409861410968
dct,utdsp,torch_compiled,EXTRALARGE,0.0139817709568888
dct,utdsp,torch_gpu_onlykernel,EXTRALARGE,5.82045176997781e-05
dissolve_blend8,blend,clang,EXTRALARGE,0.1339805
dissolve_blend8,blend,gcc,EXTRALARGE,0.122678
dissolve_blend8,blend,jax,EXTRALARGE,0.0820704631041735
dissolve_blend8,blend,jax_gpu,EXTRALARGE,0.0285038740839809
dissolve_blend8,blend,jax_gpu_onlykernel,EXTRALARGE,7.8294426202774e-05
dissolve_blend8,blend,numba,EXTRALARGE,0.176866837427951
dissolve_blend8,blend,numpy,EXTRALARGE,0.0599708175286651
dissolve_blend8,blend,polly,EXTRALARGE,0.1326745
dissolve_blend8,blend,polly-parallel,EXTRALARGE,0.1337955
dissolve_blend8,blend,polly-parallel-vectorizer,EXTRALARGE,0.132752
dissolve_blend8,blend,polly-vectorizer,EXTRALARGE,0.133839
dissolve_blend8,blend,torch,EXTRALARGE,0.0591389944311231
dissolve_blend8,blend,torch_compiled,EXTRALARGE,0.0670602159807459
dissolve_blend8,blend,torch_gpu_onlykernel,EXTRALARGE,6.19149068370461e-05
diveq,mathfu,clang,EXTRALARGE,0.050185
diveq,mathfu,gcc,EXTRALARGE,0.050351
diveq,mathfu,jax,EXTRALARGE,0.117454147431999
diveq,mathfu,jax_gpu,EXTRALARGE,0.0497066040989012
diveq,mathfu,jax_gpu_onlykernel,EXTRALARGE,3.19349346682429e-05
diveq,mathfu,numba,EXTRALARGE,0.102473421837203
